SAL_CODE_2021,Suburb_Name,PCA_X,PCA_Y,PCA_Z,tSNE_X,tSNE_Y,UMAP_X,UMAP_Y,UMAP_Z
SAL12851,Mundongo,-1.9227199532759396,0.2180069496185667,1.5763737868166363,16.038256,45.999336,-3.0420568,6.087896,-1.7290417
SAL12852,Mungay Creek,-2.1302078562947666,0.08464141117820369,-0.09628459479760798,-6.9494557,-23.86909,0.3401656,5.3739924,-1.830456
SAL12853,Munghorn,-2.589232584252714,-0.25470000586470437,-5.716893601960289,14.433653,-83.76855,16.623312,2.1817129,-1.2109451
SAL12854,Mungindi (NSW),-1.990203179127038,-0.007687713765744626,-0.6174450884925432,-32.806522,-0.15928458,0.23136953,2.5751762,-0.24615885
SAL12855,Mungo,-2.4470128688258557,0.21206762506498023,-2.4768702777913676,-88.11734,-10.365187,1.8289832,-2.2604482,2.302988
SAL12856,Mungo Brush,-2.589232584252714,-0.25470000586470437,-5.716893601960289,14.491709,-83.49459,16.757944,2.4322934,-0.87726706
SAL12857,Munni,-2.0869472687981525,0.2882752230308405,0.162753960977026,-24.158928,5.8081956,-0.12917663,4.0411706,0.3402383
SAL12858,Munyabla,-2.1895881573035734,0.045959972473165016,-0.00936504291030931,-40.159184,33.527576,-0.99119323,-0.27555236,-0.9611998
SAL12859,Murga,-2.160580925097242,0.23656510095961006,0.7033975116710444,-24.313223,44.151745,-1.6969957,1.6447799,0.16899243
SAL12860,Murrah,-2.233260769571304,0.20090167421746336,-0.06255520150859939,-35.824894,-11.294774,1.1506778,1.9892133,0.3214252
SAL12861,Murrami,-2.121259109030286,0.09170431310577916,0.16179285013131414,-29.498175,24.802664,-0.79083824,3.5506487,-1.6420646
SAL12862,Murrawombie,-2.283045364263785,-0.01726081889708123,-0.014676235380501399,-69.4721,37.17654,-0.64559215,-1.627646,-0.41087314
SAL12863,Murray Downs,-1.8968390229499765,0.26801895755303917,1.495027714515677,17.622488,50.569794,-3.1927664,5.991863,-1.4962362
SAL12864,Murray Gorge,-2.589232584252714,-0.25470000586470437,-5.716893601960289,17.722242,-81.518,16.568964,2.6342845,-0.93082577
SAL12865,Murrays Beach,-0.09504459178661952,0.6202701366030033,2.0441090692081207,53.941727,32.031578,-2.803755,9.34616,-2.364694
SAL12866,Murrays Run,-2.069164309222445,0.28244094232983274,0.08063208538377385,-21.622929,3.6879275,-0.04860571,4.8031206,0.12248938
SAL12867,Murrengenburg,-2.589232584252714,-0.25470000586470437,-5.716893601960289,16.865248,-81.40795,16.875246,2.4491172,-0.99634355
SAL12868,Murrin Bridge,-2.388416371006463,-0.026915174220040968,-2.0476653222201215,-42.277767,-29.666405,2.15416,1.837777,0.6008966
SAL12869,Murringo,-1.794349663953684,0.5851386465097519,-0.5631704477997282,42.81211,2.5171967,-4.386453,14.203444,-3.029545
SAL12870,Murrulebale,-2.160713638655932,0.12306767753678391,0.6449179528634097,-67.28401,29.931637,-1.169758,-0.60332054,-0.6771885
SAL12871,Murrumbateman,6.955254368632006,0.3105732475319094,4.694322302784855,73.48667,-4.625501,-4.60765,16.723871,-3.0888243
SAL12872,Murrumbo,-2.1593696530395037,0.13404691546538697,1.3397834516154903,-65.44031,42.244534,-1.4130094,-1.3422529,-0.57944214
SAL12873,Murrumbucca,-2.082445682273404,0.3004932079416214,1.0157478503598178,-13.069583,48.713486,-1.9712354,3.8194351,-0.5740431
SAL12874,Murrumburrah,-2.157435243084599,0.23618300655329313,0.0355071122604844,-21.740541,13.098347,-0.6775747,4.0316157,-0.11202292
SAL12875,Murrurundi,-1.5396472421959717,0.006793634002615582,-1.03878734768957,-18.961658,-54.338593,3.4152515,3.4142056,1.1598381
