SA1_CODE_2021,China_population,total_population,concentration_ratio,is_cluster
12003139321,395,1507,0.26211015262110154,True
20703116308,395,1031,0.3831231813773036,True
20703116410,395,1056,0.3740530303030303,True
11902165912,395,736,0.5366847826086957,True
30306108017,394,1215,0.3242798353909465,True
30903123621,394,2424,0.16254125412541254,True
12602150347,394,1425,0.27649122807017545,True
12601172131,394,940,0.41914893617021276,True
11703164521,394,2183,0.18048557031607879,True
30306107916,394,818,0.48166259168704156,True
12101168435,393,1210,0.3247933884297521,True
21205132404,393,1432,0.2744413407821229,True
21104127123,393,1484,0.26482479784366575,True
12501158518,393,749,0.5246995994659546,True
12003167911,393,975,0.40307692307692305,True
12502171203,392,935,0.4192513368983957,True
21205156814,392,1138,0.3444639718804921,True
12502147730,392,966,0.4057971014492754,True
21205132105,391,1118,0.34973166368515207,True
30306108016,391,1278,0.3059467918622848,True
30403109601,391,1188,0.3291245791245791,True
20604111734,391,852,0.45892018779342725,True
80105105409,391,1700,0.23,True
20703116421,391,933,0.4190782422293676,True
12501158206,390,1321,0.2952308856926571,True
20702115715,390,1229,0.31733116354759966,True
12501158237,388,1106,0.3508137432188065,True
20701114815,388,902,0.43015521064301554,True
12003139334,388,1457,0.26630061770761837,True
11902166125,388,1127,0.3442768411712511,True
21205132117,388,1076,0.36059479553903345,True
11902166017,388,1079,0.35959221501390176,True
60105102909,388,1564,0.24808184143222506,True
20702142432,387,1067,0.3626991565135895,True
11903137332,387,750,0.516,True
30303106523,387,1034,0.3742746615087041,True
12602172326,387,807,0.4795539033457249,True
20703116305,386,740,0.5216216216216216,True
11703164613,386,1149,0.3359442993907746,True
11903137411,386,607,0.6359143327841845,True
20701114839,385,930,0.41397849462365593,True
21101126033,385,1038,0.37090558766859344,True
