SA1_CODE_2021,China_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
20703116304,603,1091,0.5527039413382218,True,389,2525,1642,2.7,0.23690621193666261,0.3548674224679097,Affordable,Moderately_Affordable
80105105307,601,1610,0.3732919254658385,True,301,0,75,1.0,4.013333333333334,0.0,Very_Expensive,Affordable
12502171215,601,1796,0.3346325167037862,True,470,2300,2010,2.7,0.23383084577114427,0.26406429391504016,Affordable,Affordable
12601172030,600,1140,0.5263157894736842,True,520,2650,2316,2.4,0.22452504317789293,0.2640494220805102,Affordable,Affordable
80105104901,600,5674,0.10574550581600282,True,9,0,0,1.0,inf,,Very_Expensive,Unknown
12601172018,597,1246,0.47913322632423755,True,580,2767,2243,2.5,0.2585822559072671,0.28468054460029496,Affordable,Affordable
12103140759,593,1032,0.5746124031007752,True,600,3000,2264,2.4,0.26501766784452296,0.3057896167436803,Affordable,Moderately_Affordable
11903166418,593,1004,0.5906374501992032,True,490,2200,1807,3.2,0.2711676812396237,0.2809586650206462,Affordable,Affordable
20604150518,593,2943,0.20149507305470607,True,437,1898,1413,1.8,0.30927105449398445,0.3099787685774947,Moderately_Affordable,Moderately_Affordable
12103140861,589,959,0.6141814389989573,True,620,3250,2519,2.4,0.24612941643509328,0.29773719730051607,Affordable,Affordable
12101139928,589,1055,0.5582938388625592,True,580,2086,2107,2.5,0.2752728998576175,0.22846920521339126,Affordable,Affordable
12601172005,588,1214,0.4843492586490939,True,450,2350,2078,2.4,0.2165543792107796,0.26097579033093954,Affordable,Affordable
11903166415,588,800,0.735,True,440,2068,1678,2.7,0.2622169249106079,0.2844045108645824,Affordable,Affordable
11904167109,587,1833,0.320240043644299,True,550,2400,2359,2.2,0.2331496396778296,0.2347800567385137,Affordable,Affordable
20604150432,587,1491,0.3936955063715627,True,350,1812,966,1.5,0.36231884057971014,0.4328714763497372,Moderately_Affordable,Expensive
